Source,Target,Score
pdb1kar_A_0502_HSM.pdb,pdb8bxl_B_0601_FAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3ddp_A_0299_RC8.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7d85_A_0601_NAG.pdb,0.57
pdb1kar_A_0502_HSM.pdb,pdb4ivg_A_0801_ANP.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2bry_A_1493_FAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7bjx_A_0301_U0Q.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7lje_A_1701_Y2P.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb6oax_C_0901_AGS.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5nmx_A_0501_FAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5ein_A_0401_NAP.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4hws_A_0702_1B3.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5jjg_A_0204_IPA.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb2wt9_A_1216_NIO.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5lx5_A_0501_7A0.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4bco_A_1299_T6Q.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8bqq_A_0201_RJU.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb8owl_A_1002_VSR.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4lmn_A_0503_EUI.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8g2i_A_0501_I0B.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4wf8_A_1203_2R9.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb1g2o_A_0351_IMH.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5w99_A_0401_A1V.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4lv9_A_0601_20J.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4ddk_A_0401_0HN.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5j31_C_0422_MK8.pdb,0.67
pdb1kar_A_0502_HSM.pdb,pdb8bdg_B_0504_R3T.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2c6x_A_1366_CIT.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb1ttv_A_0120_IMY.pdb,0.64
pdb1kar_A_0502_HSM.pdb,pdb4upi_A_0053_DDZ.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2fzw_A_1377_NAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb1bdb_A_0300_NAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2vml_B_1082_CYC.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3tc5_A_0164_3T5.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb6en8_E_0901_UNL.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3a7r_A_0401_LAQ.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5w4v_A_0501_9WA.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7vdq_A_0301_64V.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3t4e_A_0289_NAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4xtu_A_0301_44J.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3ned_A_0067_EYG.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb9cp8_A_0501_NAI.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3fpz_A_1100_AHZ.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7d95_A_0076_5CS.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4krg_A_0502_SAH.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7lun_A_1901_YFG.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8eg5_B_0401_UCI.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2f4j_A_0514_VX6.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4h0n_A_0401_SAH.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb1qjy_1_7003_W03.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb1uyi_A_1224_PUZ.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8ad6_A_0201_2BA.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3haz_A_2001_FAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5etd_A_0801_5RN.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb5uhi_A_0601_8A4.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5i8a_A_0801_69C.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5qto_A_0304_PWG.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb3cld_A_0001_GW6.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb2a7x_A_0501_AMP.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4qek_A_0401_GLC.pdb,0.5
pdb1kar_A_0502_HSM.pdb,pdb3c6p_B_1001_2S3.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8r7s_C_0004_MVA.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb4xu1_A_0301_44O.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb6yhe_A_0402_72C.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb4z2r_A_0601_FAD.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb6xte_A_0891_CSO.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb5jvd_B_0501_6NL.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb8q4h_A_0602_COB.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb7kx6_A_0701_X7Y.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb3mdy_A_0001_LDN.pdb,0.45
pdb1kar_A_0502_HSM.pdb,pdb5a1t_A_0346_OXM.pdb,0.44
pdb1kar_A_0502_HSM.pdb,pdb7nf5_A_0406_IPA.pdb,0.5
pdb1kar_A_0502_HSM.pdb,pdb5odq_A_0701_FAD.pdb,0.45
