.,1avn_A,1jqd_A,1kar_A,1qft_B,1u18_A,2qeb_B,2x45_C,3bu1_A,3rxh_A,4xmf_A,5rus_A,6dyn_A,6fu4_D,7a5v_A,7qn9_A,8jt5_A,8tgk_A,8yn2_R,8yn3_R,8yn9_R,8yuu_R
1avn_A.pdb,1.0,0.24277,0.21056,0.28692,0.2978,0.27449,0.2756,0.25834,0.25181,0.27234,0.30042,0.27156,0.26601,0.25136,0.2532,0.23617,0.22487,0.26109,0.26271,0.25365,0.25752
1jqd_A.pdb,0.24277,1.0,0.3556,0.23125,0.25098,0.24634,0.24897,0.23219,0.27889,0.23547,0.36136,0.26226,0.27747,0.26221,0.25634,0.21357,0.24978,0.26012,0.25478,0.26589,0.27408
1kar_A.pdb,0.21056,0.3556,1.0,0.23631,0.21638,0.23098,0.20883,0.21474,0.23385,0.21173,0.25792,0.26771,0.29917,0.24017,0.23522,0.2508,0.25241,0.23215,0.22067,0.2207,0.20842
1qft_B.pdb,0.28692,0.23125,0.23631,1.0,0.65452,0.30433,0.76902,0.75786,0.2853,0.64016,0.36017,0.36863,0.25455,0.24332,0.22501,0.25022,0.25144,0.2223,0.2327,0.25022,0.20831
1u18_A.pdb,0.2978,0.25098,0.21638,0.65452,1.0,0.28972,0.61165,0.61851,0.29352,0.87403,0.33834,0.34238,0.25033,0.23379,0.21659,0.20352,0.20339,0.22834,0.23011,0.24427,0.22926
2qeb_B.pdb,0.27449,0.24634,0.23098,0.30433,0.28972,1.0,0.30994,0.30133,0.27017,0.27347,0.31043,0.31278,0.23551,0.21448,0.20626,0.21186,0.212,0.27195,0.27575,0.2612,0.25646
2x45_C.pdb,0.2756,0.24897,0.20883,0.76902,0.61165,0.30994,1.0,0.92965,0.30097,0.60379,0.35246,0.36969,0.23576,0.19554,0.21655,0.21641,0.20025,0.2328,0.22689,0.23261,0.21543
3bu1_A.pdb,0.25834,0.23219,0.21474,0.75786,0.61851,0.30133,0.92965,1.0,0.30246,0.60776,0.35113,0.37992,0.25915,0.24089,0.22618,0.20683,0.20962,0.22181,0.22747,0.22582,0.21579
3rxh_A.pdb,0.25181,0.27889,0.23385,0.2853,0.29352,0.27017,0.30097,0.30246,1.0,0.28702,0.29598,0.27591,0.24537,0.22146,0.21932,0.22185,0.25019,0.26373,0.25117,0.25542,0.25434
4xmf_A.pdb,0.27234,0.23547,0.21173,0.64016,0.87403,0.27347,0.60379,0.60776,0.28702,1.0,0.34579,0.33362,0.23801,0.22337,0.20933,0.222,0.2085,0.23358,0.23698,0.24977,0.2311
5rus_A.pdb,0.30042,0.36136,0.25792,0.36017,0.33834,0.31043,0.35246,0.35113,0.29598,0.34579,1.0,0.3597,0.28302,0.20816,0.23101,0.21427,0.22138,0.22405,0.24307,0.25112,0.23578
6dyn_A.pdb,0.27156,0.26226,0.26771,0.36863,0.34238,0.31278,0.36969,0.37992,0.27591,0.33362,0.3597,1.0,0.24662,0.24848,0.24862,0.24412,0.25709,0.2758,0.26992,0.30218,0.28288
6fu4_D.pdb,0.26601,0.27747,0.29917,0.25455,0.25033,0.23551,0.23576,0.25915,0.24537,0.23801,0.28302,0.24662,1.0,0.25984,0.24217,0.28271,0.25729,0.2826,0.2662,0.27094,0.27792
7a5v_A.pdb,0.25136,0.26221,0.24017,0.24332,0.23379,0.21448,0.19554,0.24089,0.22146,0.22337,0.20816,0.24848,0.25984,1.0,0.94779,0.25592,0.2502,0.2848,0.24982,0.29753,0.21901
7qn9_A.pdb,0.2532,0.25634,0.23522,0.22501,0.21659,0.20626,0.21655,0.22618,0.21932,0.20933,0.23101,0.24862,0.24217,0.94779,1.0,0.25355,0.25508,0.28567,0.27854,0.28048,0.27764
8jt5_A.pdb,0.23617,0.21357,0.2508,0.25022,0.20352,0.21186,0.21641,0.20683,0.22185,0.222,0.21427,0.24412,0.28271,0.25592,0.25355,1.0,0.96956,0.33673,0.32889,0.33511,0.33208
8tgk_A.pdb,0.22487,0.24978,0.25241,0.25144,0.20339,0.20029,0.20025,0.20962,0.25019,0.2085,0.22138,0.25709,0.25729,0.2502,0.25508,0.96956,1.0,0.33093,0.3353,0.33346,0.33782
8yn2_R.pdb,0.26109,0.26012,0.23215,0.2223,0.22834,0.27195,0.2328,0.22181,0.26373,0.23358,0.22405,0.2758,0.2826,0.2848,0.28567,0.33673,0.33093,1.0,0.90384,0.89866,0.91384
8yn3_R.pdb,0.26271,0.25478,0.22067,0.2327,0.23011,0.27575,0.22689,0.22747,0.25117,0.23698,0.24307,0.26992,0.2662,0.24982,0.27854,0.32889,0.3353,0.90384,1.0,0.86838,0.88506
8yn9_R.pdb,0.25365,0.26589,0.2207,0.25022,0.24427,0.2612,0.23261,0.22582,0.25542,0.24977,0.25112,0.30218,0.27094,0.29753,0.28048,0.33511,0.33346,0.89866,0.86838,1.0,0.91003
8yuu_R.pdb,0.25752,0.27408,0.20842,0.20831,0.22926,0.25646,0.21543,0.21579,0.25434,0.2311,0.23578,0.28288,0.27792,0.21901,0.27764,0.33208,0.33782,0.91384,0.88506,0.91003,1.0
