Source,Target,Score
1jqd_B,1jqd_A,1.0
1kar_B,1kar_A,1.0
1np1_A,1ike_A,0.875
1np1_B,1ike_A,0.875
1np1_B,1np1_A,1.0
1qft_B,1qft_A,0.842105
1qfv_B,1qfv_A,1.0
1u18_A,1np1_A,0.714286
1u18_A,1np1_B,0.714286
1u18_B,1np1_A,0.714286
1u18_B,1np1_B,0.714286
1u18_B,1u18_A,1.0
2qeb_B,2qeb_A,0.7272730000000001
2x45_B,2x45_A,1.0
2x45_C,2x45_A,0.842105
2x45_C,2x45_B,0.842105
3g7x_A,1qfv_A,1.0
3g7x_A,1qfv_B,1.0
3g7x_B,1qfv_A,1.0
3g7x_B,1qfv_B,1.0
3g7x_B,3g7x_A,1.0
4xmf_A,1ike_A,0.666667
6fu4_B,6fu4_A,0.888889
6fu4_C,6fu4_A,0.888889
6fu4_C,6fu4_B,1.0
6fu4_D,6fu4_A,0.888889
6fu4_D,6fu4_B,0.9
6fu4_D,6fu4_C,0.9
6qfa_B,6qfa_A,1.0
6qfa_C,6qfa_A,1.0
6qfa_C,6qfa_B,1.0
6qfa_D,6qfa_A,1.0
6qfa_D,6qfa_B,1.0
6qfa_D,6qfa_C,1.0
6qfa_E,6qfa_A,1.0
6qfa_E,6qfa_B,1.0
6qfa_E,6qfa_C,1.0
6qfa_E,6qfa_D,1.0
7a5v_A,6qfa_A,1.0
7a5v_A,6qfa_B,1.0
7a5v_A,6qfa_C,1.0
7a5v_A,6qfa_D,1.0
7a5v_A,6qfa_E,1.0
7qn7_C,6qfa_A,1.0
7qn7_C,6qfa_B,1.0
7qn7_C,6qfa_C,1.0
7qn7_C,6qfa_D,1.0
7qn7_C,6qfa_E,1.0
7qn7_C,7a5v_A,1.0
7qn7_D,6qfa_A,1.0
7qn7_D,6qfa_B,1.0
7qn7_D,6qfa_C,1.0
7qn7_D,6qfa_D,1.0
7qn7_D,6qfa_E,1.0
7qn7_D,7a5v_A,1.0
7qn7_D,7qn7_C,1.0
7qn8_B,6qfa_A,0.7
7qn8_B,6qfa_B,0.7
7qn8_B,6qfa_C,0.7
7qn8_B,6qfa_D,0.7
7qn8_B,6qfa_E,0.7
7qn8_B,7a5v_A,0.714286
7qn8_B,7qn7_C,0.7
7qn8_B,7qn7_D,0.7
7qn8_D,6qfa_A,1.0
7qn8_D,6qfa_B,1.0
7qn8_D,6qfa_C,1.0
7qn8_D,6qfa_D,1.0
7qn8_D,6qfa_E,1.0
7qn8_D,7a5v_A,1.0
7qn8_D,7qn7_C,1.0
7qn8_D,7qn7_D,1.0
7qn8_D,7qn8_B,0.7
7qn9_B,6qfa_A,1.0
7qn9_B,6qfa_B,1.0
7qn9_B,6qfa_C,1.0
7qn9_B,6qfa_D,1.0
7qn9_B,6qfa_E,1.0
7qn9_B,7a5v_A,1.0
7qn9_B,7qn7_C,1.0
7qn9_B,7qn7_D,1.0
7qn9_B,7qn8_B,0.7
7qn9_B,7qn8_D,1.0
7qn9_C,6qfa_A,1.0
7qn9_C,6qfa_B,1.0
7qn9_C,6qfa_C,1.0
7qn9_C,6qfa_D,1.0
7qn9_C,6qfa_E,1.0
7qn9_C,7a5v_A,1.0
7qn9_C,7qn7_C,1.0
7qn9_C,7qn7_D,1.0
7qn9_C,7qn8_B,0.7
7qn9_C,7qn8_D,1.0
7qn9_C,7qn9_B,1.0
7qn9_D,6qfa_A,1.0
7qn9_D,6qfa_B,1.0
7qn9_D,6qfa_C,1.0
7qn9_D,6qfa_D,1.0
7qn9_D,6qfa_E,1.0
7qn9_D,7a5v_A,1.0
7qn9_D,7qn7_C,1.0
7qn9_D,7qn7_D,1.0
7qn9_D,7qn8_B,0.7
7qn9_D,7qn8_D,1.0
7qn9_D,7qn9_B,1.0
7qn9_D,7qn9_C,1.0
7qnc_C,6qfa_A,1.0
7qnc_C,6qfa_B,1.0
7qnc_C,6qfa_C,1.0
7qnc_C,6qfa_D,1.0
7qnc_C,6qfa_E,1.0
7qnc_C,7a5v_A,1.0
7qnc_C,7qn7_C,1.0
7qnc_C,7qn7_D,1.0
7qnc_C,7qn8_B,0.7
7qnc_C,7qn8_D,1.0
7qnc_C,7qn9_B,1.0
