.,1avn,1kar,1qfv,2x45,3rxh,6dyn,7a5v,7qn8,7qnd,8jt5,8pvb,8yn2,8yn5,1ike,1np1,1u18,3bu1,4xmf,6fu4,7dfl,7qn9,7yfc,8jxt,8tgk,8yn3,8yn9,1jqd,1qft,2qeb,3g7x,5rus,6qfa,7qn7,7qnc,8hn8,8pok,8ucn,8yn4,8yuu
1avn.pdb,1.0,0.21056,0.28358,0.27275,0.25181,0.27156,0.25136,0.25466,0.25331,0.23617,0.25173,0.25947,0.29034,0.28999,0.29947,0.2978,0.25834,0.27234,0.22481,0.26333,0.2532,0.27402,0.26768,0.22487,0.24114,0.22908,0.24277,0.28388,0.27287,0.27574,0.30042,0.25093,0.25386,0.2543,0.23646,0.25231,0.24077,0.236,0.25752
1kar.pdb,0.21056,1.0,0.24178,0.2105,0.23385,0.26771,0.24017,0.22543,0.23158,0.2508,0.23135,0.30868,0.3,0.21318,0.21588,0.21638,0.21474,0.21173,0.29928,0.2089,0.23522,0.29792,0.29701,0.25241,0.29796,0.29898,0.3556,0.24412,0.23086,0.23284,0.25792,0.24148,0.24328,0.23895,0.30114,0.22268,0.25697,0.30561,0.20842
1qfv.pdb,0.28358,0.24178,1.0,0.74904,0.30774,0.36246,0.22881,0.23248,0.22809,0.25228,0.22709,0.31829,0.30997,0.64298,0.64644,0.64934,0.73723,0.63456,0.25215,0.23309,0.20381,0.31619,0.30038,0.24784,0.32124,0.31339,0.23944,0.99963,0.30262,0.98628,0.35341,0.23575,0.23253,0.20315,0.31489,0.21775,0.25113,0.31806,0.23761
2x45.pdb,0.27275,0.2105,0.74904,1.0,0.30122,0.36899,0.20622,0.2157,0.21587,0.21586,0.21042,0.31875,0.31162,0.61527,0.61343,0.61293,0.93077,0.60522,0.23202,0.22346,0.24348,0.3155,0.30688,0.20007,0.31734,0.31088,0.2374,0.7499,0.31027,0.76099,0.34965,0.19863,0.24351,0.21449,0.31099,0.21617,0.20566,0.32091,0.21456
3rxh.pdb,0.25181,0.23385,0.30774,0.30122,1.0,0.27591,0.22146,0.22261,0.22145,0.22185,0.22074,0.27854,0.24307,0.29014,0.29592,0.29352,0.30246,0.28702,0.23722,0.24718,0.21932,0.24609,0.23348,0.25019,0.26495,0.25414,0.27889,0.30687,0.25716,0.31841,0.29598,0.2226,0.22059,0.21645,0.24779,0.23986,0.23074,0.27898,0.25434
6dyn.pdb,0.27156,0.26771,0.36246,0.36899,0.27591,1.0,0.24848,0.25045,0.24699,0.24412,0.24718,0.31375,0.30951,0.34597,0.34302,0.34238,0.37992,0.33362,0.24682,0.27738,0.24862,0.28533,0.30887,0.25709,0.31193,0.31305,0.26226,0.36352,0.31071,0.36642,0.3597,0.24858,0.24511,0.24552,0.29942,0.26752,0.23517,0.31062,0.28288
7a5v.pdb,0.25136,0.24017,0.22881,0.20622,0.22146,0.24848,1.0,0.98578,0.98301,0.25592,0.99665,0.26322,0.28013,0.22735,0.22444,0.23379,0.24089,0.22337,0.21847,0.29081,0.94779,0.25332,0.25225,0.2502,0.26126,0.27529,0.26221,0.24077,0.21856,0.24286,0.20816,0.99646,0.96298,0.96252,0.24879,0.27361,0.23134,0.26613,0.21901
7qn8.pdb,0.25466,0.22543,0.23248,0.2157,0.22261,0.25045,0.98578,1.0,0.99821,0.25337,0.9856,0.26864,0.27051,0.228,0.22369,0.22097,0.24308,0.22822,0.24669,0.29186,0.95562,0.23269,0.27664,0.25729,0.25949,0.27232,0.26537,0.22817,0.21259,0.20789,0.23055,0.98315,0.96481,0.965,0.27482,0.2723,0.22913,0.25597,0.23678
7qnd.pdb,0.25331,0.23158,0.22809,0.21587,0.22145,0.24699,0.98301,0.99821,1.0,0.25423,0.98415,0.26926,0.26627,0.22994,0.22475,0.22296,0.24098,0.22358,0.24815,0.29072,0.95864,0.24938,0.2733,0.25792,0.21914,0.27208,0.26515,0.22739,0.21988,0.21075,0.23279,0.98247,0.96559,0.96586,0.27588,0.27094,0.22894,0.25493,0.23576
8jt5.pdb,0.23617,0.2508,0.25228,0.21586,0.22185,0.24412,0.25592,0.25337,0.25423,1.0,0.25528,0.24927,0.26204,0.18939,0.20598,0.20352,0.20683,0.222,0.26129,0.34188,0.25355,0.26286,0.25402,0.96956,0.25724,0.26186,0.21357,0.24855,0.24047,0.25039,0.21427,0.25628,0.25465,0.25459,0.25424,0.32383,0.89249,0.25415,0.33208
8pvb.pdb,0.25173,0.23135,0.22709,0.21042,0.22074,0.24718,0.99665,0.9856,0.98415,0.25528,1.0,0.26829,0.24539,0.22645,0.22146,0.21294,0.24119,0.22177,0.24582,0.28726,0.95321,0.25657,0.25485,0.25201,0.25559,0.27406,0.26516,0.22663,0.21678,0.21015,0.20658,0.99445,0.9635,0.96352,0.24899,0.27073,0.23358,0.26182,0.23849
