Source,Target,Score
2x45,1qfv,0.74904
7qn8,7a5v,0.98578
7qnd,7a5v,0.98301
7qnd,7qn8,0.99821
8pvb,7a5v,0.99665
8pvb,7qn8,0.9856
8pvb,7qnd,0.98415
8yn5,8yn2,0.8877
1ike,1qfv,0.64298
1ike,2x45,0.61527
1np1,1qfv,0.64644
1np1,2x45,0.61343
1np1,1ike,0.96565
1u18,1qfv,0.64934
1u18,2x45,0.61293
1u18,1ike,0.96108
1u18,1np1,0.99252
3bu1,1qfv,0.73723
3bu1,2x45,0.93077
3bu1,1ike,0.61613
3bu1,1np1,0.6181
3bu1,1u18,0.61851
4xmf,1qfv,0.63456
4xmf,2x45,0.60522
4xmf,1ike,0.87572
4xmf,1np1,0.88115
4xmf,1u18,0.87403
4xmf,3bu1,0.60776
7qn9,7a5v,0.94779
7qn9,7qn8,0.95562
7qn9,7qnd,0.95864
7qn9,8pvb,0.95321
7yfc,8yn2,0.959
7yfc,8yn5,0.87585
8jxt,8yn2,0.8591
8jxt,8yn5,0.92669
8jxt,7yfc,0.86087
8tgk,8jt5,0.96956
8yn3,8yn2,0.94614
8yn3,8yn5,0.84811
8yn3,7yfc,0.93289
8yn3,8jxt,0.82343
8yn9,8yn2,0.89138
8yn9,8yn5,0.98852
8yn9,7yfc,0.87644
8yn9,8jxt,0.92947
8yn9,8yn3,0.85274
1qft,1qfv,0.99963
1qft,2x45,0.7499
1qft,1ike,0.64267
1qft,1np1,0.64854
1qft,1u18,0.64539
1qft,3bu1,0.73799
1qft,4xmf,0.63404
3g7x,1qfv,0.98628
3g7x,2x45,0.76099
3g7x,1ike,0.64893
3g7x,1np1,0.65422
3g7x,1u18,0.6512
3g7x,3bu1,0.74863
3g7x,4xmf,0.63903
3g7x,1qft,0.98624
6qfa,7a5v,0.99646
6qfa,7qn8,0.98315
6qfa,7qnd,0.98247
6qfa,8pvb,0.99445
6qfa,7qn9,0.95062
7qn7,7a5v,0.96298
7qn7,7qn8,0.96481
7qn7,7qnd,0.96559
7qn7,8pvb,0.9635
7qn7,7qn9,0.97983
7qn7,6qfa,0.96427
7qnc,7a5v,0.96252
7qnc,7qn8,0.965
7qnc,7qnd,0.96586
7qnc,8pvb,0.96352
7qnc,7qn9,0.98127
7qnc,6qfa,0.96347
7qnc,7qn7,0.99919
8hn8,8yn2,0.89341
8hn8,8yn5,0.95334
8hn8,7yfc,0.88418
8hn8,8jxt,0.9596
8hn8,8yn3,0.85358
8hn8,8yn9,0.96391
8pok,7dfl,0.85089
8ucn,8jt5,0.89249
8ucn,8tgk,0.89554
8yn4,8yn2,0.97847
8yn4,8yn5,0.86548
8yn4,7yfc,0.94781
8yn4,8jxt,0.85366
8yn4,8yn3,0.94805
8yn4,8yn9,0.87583
8yn4,8hn8,0.88362
8yuu,7dfl,0.89328
8yuu,8pok,0.8616
