Source,Target,Score
1karB,1karA,0.000000
1qfvB,1qfvA,0.000000
2x45B,2x45A,0.000000
2x45C,2x45A,0.000000
2x45C,2x45B,0.000000
7qn8B,7qn8A,0.000000
7qn8C,7qn8A,0.000000
7qn8C,7qn8B,0.000000
7qn8D,7qn8A,0.000000
7qn8D,7qn8B,0.000000
7qn8D,7qn8C,0.000000
7qn8K,7a5vO,0.000000
7qn8L,7a5vO,0.000000
7qn8L,7qn8K,0.000000
7qn8M,7a5vO,0.000000
7qn8M,7qn8K,0.000000
7qn8M,7qn8L,0.000000
7qndA,7qn8A,0.000000
7qndA,7qn8B,0.000000
7qndA,7qn8C,0.000000
7qndA,7qn8D,0.000000
7qndB,7qn8A,0.000000
7qndB,7qn8B,0.000000
7qndB,7qn8C,0.000000
7qndB,7qn8D,0.000000
7qndB,7qndA,0.000000
7qndC,7qn8A,0.000000
7qndC,7qn8B,0.000000
7qndC,7qn8C,0.000000
7qndC,7qn8D,0.000000
7qndC,7qndA,0.000000
7qndC,7qndB,0.000000
7qndD,7qn8A,0.000000
7qndD,7qn8B,0.000000
7qndD,7qn8C,0.000000
7qndD,7qn8D,0.000000
7qndD,7qndA,0.000000
7qndD,7qndB,0.000000
7qndD,7qndC,0.000000
7qndE,7qn8E,0.000000
7qndK,7a5vO,0.000000
7qndK,7qn8K,0.000000
7qndK,7qn8L,0.000000
7qndK,7qn8M,0.000000
7qndL,7a5vO,0.000000
7qndL,7qn8K,0.000000
7qndL,7qn8L,0.000000
7qndL,7qn8M,0.000000
7qndL,7qndK,0.000000
7qndM,7a5vO,0.000000
7qndM,7qn8K,0.000000
7qndM,7qn8L,0.000000
7qndM,7qn8M,0.000000
7qndM,7qndK,0.000000
7qndM,7qndL,0.000000
8pvbA,7a5vA,0.000000
8pvbO,7a5vO,0.000000
8pvbO,7qn8K,0.000000
8pvbO,7qn8L,0.000000
8pvbO,7qn8M,0.000000
8pvbO,7qndK,0.000000
8pvbO,7qndL,0.000000
8pvbO,7qndM,0.000000
8yn5B,8yn2B,0.000000
8yn5C,8yn2C,0.000000
8yn5E,8yn2E,0.000000
1np1B,1np1A,0.000000
1u18B,1u18A,0.000000
6fu4B,6fu4A,0.000000
6fu4C,6fu4A,0.000000
6fu4C,6fu4B,0.000000
6fu4D,6fu4A,0.000000
6fu4D,6fu4B,0.000000
6fu4D,6fu4C,0.000000
7dflB,8yn2B,0.000000
7dflB,8yn5B,0.000000
7dflG,8yn2C,0.000000
7dflG,8yn5C,0.000000
7qn9C,7qn9B,0.000000
7qn9D,7qn9B,0.000000
7qn9D,7qn9C,0.000000
7qn9E,7qn8E,0.000000
7qn9E,7qndE,0.000000
7qn9L,7a5vO,0.000000
7qn9L,7qn8K,0.000000
7qn9L,7qn8L,0.000000
7qn9L,7qn8M,0.000000
7qn9L,7qndK,0.000000
7qn9L,7qndL,0.000000
7qn9L,7qndM,0.000000
7qn9L,8pvbO,0.000000
7qn9M,7a5vO,0.000000
7qn9M,7qn8K,0.000000
7qn9M,7qn8L,0.000000
7qn9M,7qn8M,0.000000
7qn9M,7qndK,0.000000
7qn9M,7qndL,0.000000
7qn9M,7qndM,0.000000
7qn9M,8pvbO,0.000000
7qn9M,7qn9L,0.000000
7yfcB,8yn2B,0.000000
7yfcB,8yn5B,0.000000
7yfcB,7dflB,0.000000
7yfcC,7dflC,0.000000
7yfcG,8yn2C,0.000000
7yfcG,8yn5C,0.000000
7yfcG,7dflG,0.000000
8jxtC,8yn2B,0.000000
8jxtC,8yn5B,0.000000
8jxtC,7dflB,0.000000
8jxtC,7yfcB,0.000000
8jxtD,8yn2C,0.000000
8jxtD,8yn5C,0.000000
8jxtD,7dflG,0.000000
8jxtD,7yfcG,0.000000
8jxtE,8yn2E,0.000000
8jxtE,8yn5E,0.000000
8yn3B,8yn2B,0.000000
8yn3B,8yn5B,0.000000
8yn3B,7dflB,0.000000
8yn3B,7yfcB,0.000000
8yn3B,8jxtC,0.000000
8yn3C,8yn2C,0.000000
8yn3C,8yn5C,0.000000
8yn3C,7dflG,0.000000
8yn3C,7yfcG,0.000000
8yn3C,8jxtD,0.000000
8yn3N,7yfcN,0.000000
8yn9A,8yn5A,0.000000
8yn9B,8yn2B,0.000000
8yn9B,8yn5B,0.000000
8yn9B,7dflB,0.000000
8yn9B,7yfcB,0.000000
8yn9B,8jxtC,0.000000
8yn9B,8yn3B,0.000000
8yn9C,8yn2C,0.000000
8yn9C,8yn5C,0.000000
8yn9C,7dflG,0.000000
8yn9C,7yfcG,0.000000
8yn9C,8jxtD,0.000000
8yn9C,8yn3C,0.000000
8yn9E,8yn2E,0.000000
8yn9E,8yn5E,0.000000
8yn9E,8jxtE,0.000000
1qftA,1qfvA,0.000000
1qftA,1qfvB,0.000000
1qftB,1qfvA,0.000000
1qftB,1qfvB,0.000000
1qftB,1qftA,0.000000
2qebB,2qebA,0.000000
3g7xB,3g7xA,0.000000
5rusB,5rusA,0.000000
6qfaB,7a5vA,0.000000
6qfaB,8pvbA,0.000000
6qfaK,7a5vO,0.000000
6qfaK,7qn8K,0.000000
6qfaK,7qn8L,0.000000
6qfaK,7qn8M,0.000000
6qfaK,7qndK,0.000000
6qfaK,7qndL,0.000000
6qfaK,7qndM,0.000000
6qfaK,8pvbO,0.000000
6qfaK,7qn9L,0.000000
6qfaK,7qn9M,0.000000
6qfaO,7a5vO,0.000000
6qfaO,7qn8K,0.000000
6qfaO,7qn8L,0.000000
6qfaO,7qn8M,0.000000
6qfaO,7qndK,0.000000
6qfaO,7qndL,0.000000
6qfaO,7qndM,0.000000
6qfaO,8pvbO,0.000000
6qfaO,7qn9L,0.000000
