Source,Target,Score
1ike_A,1avn_A,0.125
1jqd_A,1avn_A,0.11673199999999995
1jqd_A,1ike_A,0.13043499999999997
1jqd_B,1avn_A,0.11673199999999995
1jqd_B,1ike_A,0.125
1jqd_B,1jqd_A,0.98951
1kar_A,1avn_A,0.12062300000000004
1kar_A,1ike_A,0.13043499999999997
1kar_A,1jqd_A,0.12237799999999999
1kar_A,1jqd_B,0.125
1kar_B,1avn_A,0.12062300000000004
1kar_B,1ike_A,0.13043499999999997
1kar_B,1jqd_A,0.12237799999999999
1kar_B,1jqd_B,0.125
1kar_B,1kar_A,1.0
1np1_A,1avn_A,0.11412999999999995
1np1_A,1ike_A,0.902174
1np1_A,1jqd_A,0.11956500000000003
1np1_A,1jqd_B,0.13043499999999997
1np1_A,1kar_A,0.11412999999999995
1np1_A,1kar_B,0.11412999999999995
1np1_B,1avn_A,0.11412999999999995
1np1_B,1ike_A,0.902174
1np1_B,1jqd_A,0.11956500000000003
1np1_B,1jqd_B,0.13043499999999997
1np1_B,1kar_A,0.11412999999999995
1np1_B,1kar_B,0.11412999999999995
1np1_B,1np1_A,1.0
1qft_A,1avn_A,0.114286
1qft_A,1ike_A,0.13714300000000001
1qft_A,1jqd_A,0.12
1qft_A,1jqd_B,0.12
1qft_A,1kar_A,0.125714
1qft_A,1kar_B,0.125714
1qft_A,1np1_A,0.12
1qft_A,1np1_B,0.12
1qft_B,1avn_A,0.11834299999999998
1qft_B,1ike_A,0.13017800000000002
1qft_B,1jqd_A,0.11834299999999998
1qft_B,1jqd_B,0.11834299999999998
1qft_B,1kar_A,0.11834299999999998
1qft_B,1kar_B,0.11834299999999998
1qft_B,1np1_A,0.12426000000000004
1qft_B,1np1_B,0.12426000000000004
1qft_B,1qft_A,1.0
1qfv_A,1avn_A,0.114286
1qfv_A,1ike_A,0.13714300000000001
1qfv_A,1jqd_A,0.12
1qfv_A,1jqd_B,0.12
1qfv_A,1kar_A,0.125714
1qfv_A,1kar_B,0.125714
1qfv_A,1np1_A,0.12
1qfv_A,1np1_B,0.12
1qfv_A,1qft_A,1.0
1qfv_A,1qft_B,1.0
1qfv_B,1avn_A,0.11834299999999998
1qfv_B,1ike_A,0.13017800000000002
1qfv_B,1jqd_A,0.11834299999999998
1qfv_B,1jqd_B,0.11834299999999998
1qfv_B,1kar_A,0.11834299999999998
1qfv_B,1kar_B,0.11834299999999998
1qfv_B,1np1_A,0.12426000000000004
1qfv_B,1np1_B,0.12426000000000004
1qfv_B,1qft_A,1.0
1qfv_B,1qft_B,1.0
1qfv_B,1qfv_A,1.0
1u18_A,1avn_A,0.10326100000000005
1u18_A,1ike_A,0.896739
1u18_A,1jqd_A,0.11956500000000003
1u18_A,1jqd_B,0.11956500000000003
1u18_A,1kar_A,0.11412999999999995
1u18_A,1kar_B,0.11412999999999995
1u18_A,1np1_A,0.994565
1u18_A,1np1_B,0.994565
1u18_A,1qft_A,0.125714
1u18_A,1qft_B,0.13017800000000002
1u18_A,1qfv_A,0.125714
1u18_A,1qfv_B,0.13017800000000002
1u18_B,1avn_A,0.10326100000000005
1u18_B,1ike_A,0.896739
1u18_B,1jqd_A,0.11956500000000003
1u18_B,1jqd_B,0.11956500000000003
1u18_B,1kar_A,0.11412999999999995
1u18_B,1kar_B,0.11412999999999995
1u18_B,1np1_A,0.994565
1u18_B,1np1_B,0.994565
1u18_B,1qft_A,0.125714
1u18_B,1qft_B,0.13017800000000002
1u18_B,1qfv_A,0.125714
1u18_B,1qfv_B,0.13017800000000002
1u18_B,1u18_A,1.0
2qeb_A,1avn_A,0.13103399999999998
2qeb_A,1ike_A,0.12413799999999997
2qeb_A,1jqd_A,0.13103399999999998
2qeb_A,1jqd_B,0.13793100000000003
2qeb_A,1kar_A,0.13103399999999998
2qeb_A,1kar_B,0.13103399999999998
2qeb_A,1np1_A,0.11724100000000004
2qeb_A,1np1_B,0.11724100000000004
2qeb_A,1qft_A,0.10344799999999998
2qeb_A,1qft_B,0.10344799999999998
2qeb_A,1qfv_A,0.10344799999999998
2qeb_A,1qfv_B,0.10344799999999998
2qeb_A,1u18_A,0.11034500000000003
2qeb_A,1u18_B,0.11034500000000003
2qeb_B,1avn_A,0.13103399999999998
2qeb_B,1ike_A,0.12413799999999997
2qeb_B,1jqd_A,0.13103399999999998
2qeb_B,1jqd_B,0.13793100000000003
2qeb_B,1kar_A,0.13103399999999998
2qeb_B,1kar_B,0.13103399999999998
2qeb_B,1np1_A,0.11724100000000004
2qeb_B,1np1_B,0.11724100000000004
2qeb_B,1qft_A,0.10344799999999998
2qeb_B,1qft_B,0.10344799999999998
2qeb_B,1qfv_A,0.10344799999999998
2qeb_B,1qfv_B,0.10344799999999998
2qeb_B,1u18_A,0.11034500000000003
2qeb_B,1u18_B,0.11034500000000003
2qeb_B,2qeb_A,1.0
2x45_A,1avn_A,0.11805600000000005
2x45_A,1ike_A,0.145833
2x45_A,1jqd_A,0.13194399999999995
2x45_A,1jqd_B,0.13194399999999995
2x45_A,1kar_A,0.11805600000000005
2x45_A,1kar_B,0.11805600000000005
2x45_A,1np1_A,0.13888900000000004
2x45_A,1np1_B,0.13888900000000004
2x45_A,1qft_A,0.125
2x45_A,1qft_B,0.125
2x45_A,1qfv_A,0.125
2x45_A,1qfv_B,0.125
2x45_A,1u18_A,0.13194399999999995
2x45_A,1u18_B,0.13194399999999995
2x45_A,2qeb_A,0.09722200000000003
2x45_A,2qeb_B,0.09722200000000003
2x45_B,1avn_A,0.11805600000000005
2x45_B,1ike_A,0.145833
2x45_B,1jqd_A,0.13194399999999995
2x45_B,1jqd_B,0.13194399999999995
2x45_B,1kar_A,0.11805600000000005
2x45_B,1kar_B,0.11805600000000005
2x45_B,1np1_A,0.13888900000000004
2x45_B,1np1_B,0.13888900000000004
2x45_B,1qft_A,0.125
2x45_B,1qft_B,0.125
2x45_B,1qfv_A,0.125
2x45_B,1qfv_B,0.125
2x45_B,1u18_A,0.13194399999999995
2x45_B,1u18_B,0.13194399999999995
2x45_B,2qeb_A,0.09722200000000003
2x45_B,2qeb_B,0.09722200000000003
2x45_B,2x45_A,1.0
2x45_C,1avn_A,0.11805600000000005
2x45_C,1ike_A,0.145833
2x45_C,1jqd_A,0.13194399999999995
2x45_C,1jqd_B,0.13194399999999995
2x45_C,1kar_A,0.11805600000000005
2x45_C,1kar_B,0.11805600000000005
2x45_C,1np1_A,0.13888900000000004
2x45_C,1np1_B,0.13888900000000004
2x45_C,1qft_A,0.125
2x45_C,1qft_B,0.125
2x45_C,1qfv_A,0.125
2x45_C,1qfv_B,0.125
2x45_C,1u18_A,0.13194399999999995
2x45_C,1u18_B,0.13194399999999995
2x45_C,2qeb_A,0.09722200000000003
2x45_C,2qeb_B,0.09722200000000003
2x45_C,2x45_A,1.0
2x45_C,2x45_B,1.0
3bu1_A,1avn_A,0.145833
3bu1_A,1ike_A,0.11805600000000005
3bu1_A,1jqd_A,0.13194399999999995
3bu1_A,1jqd_B,0.13194399999999995
3bu1_A,1kar_A,0.13194399999999995
3bu1_A,1kar_B,0.13194399999999995
3bu1_A,1np1_A,0.10416700000000001
3bu1_A,1np1_B,0.10416700000000001
3bu1_A,1qft_A,0.15277799999999997
3bu1_A,1qft_B,0.15277799999999997
3bu1_A,1qfv_A,0.15277799999999997
3bu1_A,1qfv_B,0.15277799999999997
3bu1_A,1u18_A,0.10416700000000001
3bu1_A,1u18_B,0.10416700000000001
3bu1_A,2qeb_A,0.11111099999999996
3bu1_A,2qeb_B,0.11111099999999996
3bu1_A,2x45_A,0.44444399999999995
3bu1_A,2x45_B,0.44444399999999995
3bu1_A,2x45_C,0.44444399999999995
3g7x_A,1avn_A,0.11695900000000004
3g7x_A,1ike_A,0.12865499999999996
3g7x_A,1jqd_A,0.11695900000000004
3g7x_A,1jqd_B,0.11695900000000004
3g7x_A,1kar_A,0.140351
3g7x_A,1kar_B,0.140351
3g7x_A,1np1_A,0.122807
3g7x_A,1np1_B,0.122807
3g7x_A,1qft_A,0.994152
3g7x_A,1qft_B,0.994083
3g7x_A,1qfv_A,0.994152
3g7x_A,1qfv_B,0.994083
3g7x_A,1u18_A,0.122807
3g7x_A,1u18_B,0.122807
3g7x_A,2qeb_A,0.11034500000000003
3g7x_A,2qeb_B,0.11034500000000003
3g7x_A,2x45_A,0.125
3g7x_A,2x45_B,0.125
3g7x_A,2x45_C,0.125
3g7x_A,3bu1_A,0.15277799999999997
3g7x_B,1avn_A,0.11764699999999995
3g7x_B,1ike_A,0.12941199999999997
3g7x_B,1jqd_A,0.11764699999999995
3g7x_B,1jqd_B,0.11764699999999995
3g7x_B,1kar_A,0.14117599999999997
3g7x_B,1kar_B,0.14117599999999997
