Source,Target,Score
1jqd_A,1avn_A,0.24277
1kar_A,1avn_A,0.21056
1kar_A,1jqd_A,0.3556
1qft_B,1avn_A,0.28692
1qft_B,1jqd_A,0.23125
1qft_B,1kar_A,0.23631
1u18_A,1avn_A,0.2978
1u18_A,1jqd_A,0.25098
1u18_A,1kar_A,0.21638
1u18_A,1qft_B,0.65452
2qeb_B,1avn_A,0.27449
2qeb_B,1jqd_A,0.24634
2qeb_B,1kar_A,0.23098
2qeb_B,1qft_B,0.30433
2qeb_B,1u18_A,0.28972
2x45_C,1avn_A,0.2756
2x45_C,1jqd_A,0.24897
2x45_C,1kar_A,0.20883
2x45_C,1qft_B,0.76902
2x45_C,1u18_A,0.61165
2x45_C,2qeb_B,0.30994
3bu1_A,1avn_A,0.25834
3bu1_A,1jqd_A,0.23219
3bu1_A,1kar_A,0.21474
3bu1_A,1qft_B,0.75786
3bu1_A,1u18_A,0.61851
3bu1_A,2qeb_B,0.30133
3bu1_A,2x45_C,0.92965
3rxh_A,1avn_A,0.25181
3rxh_A,1jqd_A,0.27889
3rxh_A,1kar_A,0.23385
3rxh_A,1qft_B,0.2853
3rxh_A,1u18_A,0.29352
3rxh_A,2qeb_B,0.27017
3rxh_A,2x45_C,0.30097
3rxh_A,3bu1_A,0.30246
4xmf_A,1avn_A,0.27234
4xmf_A,1jqd_A,0.23547
4xmf_A,1kar_A,0.21173
4xmf_A,1qft_B,0.64016
4xmf_A,1u18_A,0.87403
4xmf_A,2qeb_B,0.27347
4xmf_A,2x45_C,0.60379
4xmf_A,3bu1_A,0.60776
4xmf_A,3rxh_A,0.28702
5rus_A,1avn_A,0.30042
5rus_A,1jqd_A,0.36136
5rus_A,1kar_A,0.25792
5rus_A,1qft_B,0.36017
5rus_A,1u18_A,0.33834
5rus_A,2qeb_B,0.31043
5rus_A,2x45_C,0.35246
5rus_A,3bu1_A,0.35113
5rus_A,3rxh_A,0.29598
5rus_A,4xmf_A,0.34579
6dyn_A,1avn_A,0.27156
6dyn_A,1jqd_A,0.26226
6dyn_A,1kar_A,0.26771
6dyn_A,1qft_B,0.36863
6dyn_A,1u18_A,0.34238
6dyn_A,2qeb_B,0.31278
6dyn_A,2x45_C,0.36969
6dyn_A,3bu1_A,0.37992
6dyn_A,3rxh_A,0.27591
6dyn_A,4xmf_A,0.33362
6dyn_A,5rus_A,0.3597
6fu4_D,1avn_A,0.26601
6fu4_D,1jqd_A,0.27747
6fu4_D,1kar_A,0.29917
6fu4_D,1qft_B,0.25455
6fu4_D,1u18_A,0.25033
6fu4_D,2qeb_B,0.23551
6fu4_D,2x45_C,0.23576
6fu4_D,3bu1_A,0.25915
6fu4_D,3rxh_A,0.24537
6fu4_D,4xmf_A,0.23801
6fu4_D,5rus_A,0.28302
6fu4_D,6dyn_A,0.24662
7a5v_A,1avn_A,0.25136
7a5v_A,1jqd_A,0.26221
7a5v_A,1kar_A,0.24017
7a5v_A,1qft_B,0.24332
7a5v_A,1u18_A,0.23379
7a5v_A,2qeb_B,0.21448
7a5v_A,2x45_C,0.19554
7a5v_A,3bu1_A,0.24089
7a5v_A,3rxh_A,0.22146
7a5v_A,4xmf_A,0.22337
7a5v_A,5rus_A,0.20816
7a5v_A,6dyn_A,0.24848
7a5v_A,6fu4_D,0.25984
7qn9_A,1avn_A,0.2532
7qn9_A,1jqd_A,0.25634
7qn9_A,1kar_A,0.23522
7qn9_A,1qft_B,0.22501
7qn9_A,1u18_A,0.21659
7qn9_A,2qeb_B,0.20626
7qn9_A,2x45_C,0.21655
7qn9_A,3bu1_A,0.22618
7qn9_A,3rxh_A,0.21932
7qn9_A,4xmf_A,0.20933
7qn9_A,5rus_A,0.23101
7qn9_A,6dyn_A,0.24862
7qn9_A,6fu4_D,0.24217
7qn9_A,7a5v_A,0.94779
8jt5_A,1avn_A,0.23617
8jt5_A,1jqd_A,0.21357
8jt5_A,1kar_A,0.2508
8jt5_A,1qft_B,0.25022
8jt5_A,1u18_A,0.20352
8jt5_A,2qeb_B,0.21186
8jt5_A,2x45_C,0.21641
8jt5_A,3bu1_A,0.20683
8jt5_A,3rxh_A,0.22185
8jt5_A,4xmf_A,0.222
8jt5_A,5rus_A,0.21427
8jt5_A,6dyn_A,0.24412
8jt5_A,6fu4_D,0.28271
8jt5_A,7a5v_A,0.25592
8jt5_A,7qn9_A,0.25355
8tgk_A,1avn_A,0.22487
8tgk_A,1jqd_A,0.24978
8tgk_A,1kar_A,0.25241
8tgk_A,1qft_B,0.25144
8tgk_A,1u18_A,0.20339
8tgk_A,2qeb_B,0.20029
8tgk_A,2x45_C,0.20025
8tgk_A,3bu1_A,0.20962
8tgk_A,3rxh_A,0.25019
8tgk_A,4xmf_A,0.2085
8tgk_A,5rus_A,0.22138
8tgk_A,6dyn_A,0.25709
8tgk_A,6fu4_D,0.25729
8tgk_A,7a5v_A,0.2502
8tgk_A,7qn9_A,0.25508
8tgk_A,8jt5_A,0.96956
8yn2_R,1avn_A,0.26109
8yn2_R,1jqd_A,0.26012
8yn2_R,1kar_A,0.23215
8yn2_R,1qft_B,0.2223
8yn2_R,1u18_A,0.22834
8yn2_R,2qeb_B,0.27195
8yn2_R,2x45_C,0.2328
8yn2_R,3bu1_A,0.22181
8yn2_R,3rxh_A,0.26373
8yn2_R,4xmf_A,0.23358
8yn2_R,5rus_A,0.22405
8yn2_R,6dyn_A,0.2758
